Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,RO-R.R-I,Warangal,09.12.2023,12.20 pm,,"others,gardening",municipal sewage,municipal swewage,clear,50 cm,yes,green,septic,,26.8,2.8,7.56,902,4,5.12,,26,240,2,,,,10,5,230,102,51,7.84,2.35,,232,51.2,128,25.27,104,38,,576,430,12,1.46,,0.5,,0.95,,
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Rangareddy,Ranga Reddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,Ranga Reddy-I,Warangal,09.12.2023,11.10 am,,"others,fishing,cattlewading",municipal sewage,municipal swewage,clear,Greater than 100 cm,yes,green,septic,,27.5,5.3,8.19,648,2.2,1.86,,2,48,Less than 1.8,,,,6,5,170,71,32,2.24,0.92,,174,37.6,94,19.44,80,32,,410,290,10,1.22,,0.5,,0.65,,
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,Medchal,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,03.00 pm,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,brown,septic,,16,0.3,7.3,1968,7,14.64,,32,540,8.2,,,,22,5,560,202,78,8.4,2.94,,570,144,360,51.03,210,132,,1240,780,18,3.68,,0.6,,1.58,,
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,Warangal,06.12.2023,08.10 am,,others,municipal sewage,domestic effluents,clear,Greater than 100cm,yes,brown,septic,,30,0.3,7.29,1286,14,5.94,,27,540,14,,,,18,5,320,154,166,8.4,2.56,,335,84,210,30.38,125,94,,798,534,15,2.96,,0.6,,1.28,,
4679,Lakes & Tanks ,HUDA Park Lake,Rangareddy,Ranga Reddy-I,Warangal,05.12.2023,10.10 am,,others,none,none,clear,Greater than 100cm,no,light green,odourless,,28,0.3,7.4,2362,10,14.56,,38,920,14,,,,26,5,670,254,112,11.2,4.84,,685,172,430,61.96,255,152,,1488,1026,20,3.74,,0.56,,1.46,,
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",Warangal,Warangal,Warangal,05.12.2023,12.20 am,,others,domestic sewage,none,raining,50to100 cm,yes,pale green,odour free,,27,0.3,8.27,648,8,5.68,,2,220,Less than 1.8,,,,10,5,168,74,80,2.24,0.54,,180,42.4,106,17.98,74,26,,400,316,16,2.15,,0.5,,0.14,,
4684,Lakes & Tanks ,Campus Lake Icrisat,Sangareddy,Sangareddy,ZL-RCP,2023-12-21 00:00:00,10:00:00,None,None,Domestic waste water  from Ramachandrapuram Residential area,Sewage,Clear,4 mtrs,None,Light Green,None,Low,24 oC,6.6,7.39,717,3.6,25,0.1,6,79,5.6,,,,3,16,135,96,28,6,,,210,125,50,85,21,31,19,437.37,310.53,9,,0.14,BDL,5.2,0.41,15.86,0.52
4685,Lakes & Tanks ,Surisigal Lake Icrisat,Sangareddy,Sangareddy,ZL-RCP,2023-12-21 00:00:00,10:20:00,None,None,Domestic waste water  from Ramachandrapuram Residential area,Sewage,Clear,4 mtrs,None,Light Green,None,Low,24 oC,6.4,7.28,1026,3.4,32,0.08,8.1,110,6.8,,,,2.8,24,205,134,32,12,,,300,200,80,100,24,60,39,625.86,444.36,9,,0.12,BDL,8.2,0.38,21.45,0.84
4686,Lakes & Tanks ,Icrisat Lake,Sangareddy,Sangareddy,ZL-RCP,2023-12-21 00:00:00,10:40:00,None,None,Domestic waste water  from Tellapur Residential area,Sewage,Clear,4 mtrs,None,Light Green,None,Low,25 oC,6.1,7.07,1012,3.4,33,0.15,7.8,110,6.1,,,,3.1,24,250,125,40,10,,,300.23,185,74,115.23,28,45,38,617.32,438.3,8,,0.13,BDL,8.1,0.28,20.93,0.85
4687,Lakes & Tanks ,Red Lake Icrisat,Sangareddy,Sangareddy,ZL-RCP,2023-12-21 00:00:00,10:45:00,None,None,Domestic waste water  from HIG & MIG Residential area,Sewage,Clear,3 mtrs,None,Light Green,None,Low,25 oC,6.2,6.98,1127,3.6,35,0.15,8.1,120,6.1,,,,3.5,28,230,146,40,10,,,325.23,210,84,115.23,28,49,32,687.47,488.1,10,,0.14,BDL,6.4,0.52,17.2,0.67
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",Hyderabad,Hyderabad,Warangal,06.12.2023,02.15 am,,others,domestic sewage,none,clear,app 2mts,no,pale green,odourless,,25,4.4,6.71,520,2.8,3.48,,12,350,2,,,,14,5,130,52,42,4.2,0.4,,140,34,85,13.37,55,34,,312,188,11,1.28,,0.5,,0.92,,
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,Hyderabad,Warangal,06.12.2023,05.00 pm,,others,domestic sewage,none,clear,app 2mts,yes,pale green,septic,,25,0.3,7.28,1167,8,4.58,,21,430,8.1,,,,16,5,340,124,85,5.6,0.84,,350,86,215,32.8,135,72,,724,442,12,1.84,,0.5,,0.98,,
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,Ranga Reddy-I,Warangal,06.12.2023,08.55 am,,others,none,none,clear,Greater than 100 cm,no,green,odour free,,28,0.3,7,1465,8,6.84,,21,430,12,,,,18,5,415,152,77,7,2.84,,425,108,270,37.66,155,96,,922,626,16,2.48,,0.5,,1.26,,
4692,Lakes & Tanks ,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,06.12.2023,08.30 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,yellowish brown,septic,,25,0.3,7.28,1384,16,7.54,,24,540,12,,,,20,5,370,164,166,5.6,2.64,,385,96,240,35.23,145,98,,858,548,13,2.78,,0.5,,1.34,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.20 pm,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,light green,septic,,27,0.3,6.93,1122,7,13.6,,17,350,4,,,,15,5,248,144,98,5.6,2.24,,360,94.4,236,30.13,124,58,,678,480,34,2.14,,0.5,,0.9,,
4694,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,RR-II,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,RR-II,Warangal,07.12.2023,04.00 pm,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,27,0.3,7.24,1614,10,11.12,,24,540,6,,,,20,5,420,159,106,8.4,2.84,,430,106,265,40.09,165,98,,1004,682,16,2.81,,0.5,,1.42,,
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,RR-II,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,RR-II,Warangal,07.12.2023,12.55 pm,,others,municipal sewage,domestic effluents,clear,Less than 50cm,yes,light green,septic,,16,0.3,7.28,1608,6,8.24,,24,540,10,,,,16,5,450,184,62,7,1.42,,460,114,285,42.52,175,102,,996,686,18,2.96,,0.5,,1.28,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,Ranga Reddy-I,Warangal,06.12.2023,10.55 am,,fishing,none,none,clear,Greater than 100 cm,no,clear,odourless,,27,5.6,6.96,557,2.4,3.28,,10,240,2,,,,10,5,130,64,36,2.8,0.4,,140,34,85,13.37,55,39,,334,214,10,1.54,,0.5,,0.68,,
4700,Lakes & Tanks ,"Large tank,/ Saroornagar, Rangareddy District.",RR-shamshabad,Ranga Reddy-I,Warangal,06.12.2023,10.40 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,yellowish brown,septic,,28,4.9,6.7,468,2.8,3.26,,14,350,2,,,,12,5,110,58,44,4.2,0.4,,115,28,70,10.94,45,36,,276,172,10,2.28,,0.5,,0.73,,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,Ranga Reddy-I,Warangal,06.12.2023,12.50 pm,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,green,septic,,28,2.4,7.1,980,3,7.36,,31,430,6.1,,,,20,5,212,128,44,7,1.6,,310,81.6,204,25.76,106,58,,650,440,14,3.16,,0.5,,0.82,,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,Rangareddy-I,"Central lab, Hyderabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703,Lakes & Tanks ,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,Ranga Reddy-I,Warangal,05.12.2023,08.55 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,green,septic,,29,0.3,7.16,2144,18,12.56,,33,540,9.2,,,,26,5,560,260,185,9.8,3.88,,580,140,350,55.89,230,164,,1350,904,21,3.86,,0.6,,1.38,,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,Ranga Reddy-I,Warangal,06.12.2023,09.50 am,,others,none,none,clear,Greater than 100 cm,no,green,odourless,,27,0.3,7.02,1214,14,8.16,,26,540,14,,,,16,5,320,135,128,7,3.24,,335,84,210,30.38,125,86,,752,482,12,2.84,,0.5,,1.09,,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,Medchal,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5029,Lakes & Tanks ,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,Hyderabad,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Lakes & Tanks ,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,Hyderabad,Warangal,06.12.2023,12.00 am,,others,domestic sewage,none,clear,app 3mts,no,green,odourless,,25,4,7.32,1308,5.2,4.96,,17,350,4,,,,13,5,345,140,66,5.6,0.4,,355,88,220,32.8,135,82,,810,518,10,1.18,,0.5,,1.08,,
5031,Lakes & Tanks ,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes & Tanks ,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,06.12.2023,01.35 pm,,others,sewage,none,clear,app 5mts,yes,clear,odourfree,,25,0.3,7.26,1570,8,5.84,,24,540,14,,,,21,5,440,164,89,7,2.81,,450,112,280,41.31,170,98,,974,646,17,2.28,,0.5,,1.28,,
5033,Lakes & Tanks ,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,Lakes & Tanks ,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,06.12.2023,01.45 pm,,others,none,none,clear,app 5mts,no,clear,septic,,25,4,7.2,1092,3,5.16,,17,280,2,,,,16,5,295,118,46,5.6,0.88,,305,74,185,29.16,120,72,,678,420,13,1.86,,0.5,,1.24,,
5035,Lakes & Tanks ,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,06.12.2023,01.20 pm,,others,none,none,clear,app 5mts,yes,clear,odourless,,25,4,7.28,1194,3,5.48,,14,350,4,,,,15,5,315,115,46,5.6,0.4,,325,80,200,30.38,125,70,,728,436,12,1.46,,0.5,,0.95,,
5036,Lakes & Tanks ,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,11.00 am,,others,municipal sewage,domestic effluents,clear,Less than 50cm,yes,clear,septic,,15,0.3,7,882,10,5.84,,12,280,4,,,,12,5,230,78,97,4.2,1.98,,245,60,150,23.09,95,54,,546,354,10,1.24,,0.5,,0.98,,
5037,Lakes & Tanks ,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,11.30 am,,others,municipal sewage,domestic effluents,clear,Less than 50cm,yes,black,septic,,15,0.3,7.1,1512,8,6.28,,27,540,6.1,,,,18,5,450,149,69,7,2.74,,465,116,290,42.52,175,92,,952,656,16,2.56,,0.5,,1.16,,
5038,Lakes & Tanks ,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,Hyderabad,Warangal,06.12.2023,11.15 am,,others,domestic sewage,none,clear,app 5mts,yes,pale green,odourless,,25,0.3,7.48,1989,10,7.4,,24,540,11,,,,22,5,490,218,89,8.4,2.46,,510,130,325,44.95,185,136,,1254,816,17,2.39,,0.5,,1.38,,
5039,Lakes & Tanks ,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,Hyderabad,Warangal,06.12.2023,10.30 am,,others,domestic sewage,none,clear,app 5-6mts,yes,clear,odourfree,,25,0.3,7.06,2784,12,12.28,,38,920,17,,,,24,5,760,348,139,9.8,3.46,,785,240,600,44.95,185,184,,1738,1146,14,3.86,,0.6,,1.6,,
5040,Lakes & Tanks ,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,08.12.2023,09.30 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,yellowish brown,septic,,28,0.3,7,1350,16,7.84,,26,430,14,,,,20,5,385,127,140,7,2.94,,395,94,235,38.88,160,78,,838,532,17,3.38,,0.5,,1.28,,
5041,Lakes & Tanks ,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,08.12.2023,09.10 am,,fishing,none,none,clear,Greater than 100 cm,no,clear,odour free,,26,0.3,7.46,1288,6.8,8.78,,34,540,17,,,,17,5,370,128,73,8.4,2.08,,380,92,230,36.45,150,78,,812,528,14,3.26,,0.5,,0.96,,
5042,Lakes & Tanks ,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,04.45 am,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,16,0.3,7.24,1460,20,11.69,,24,430,6,,,,16,5,370,157,184,7,2.28,,380,92,230,36.45,150,96,,904,560,14,2.16,,0.5,,1.09,,
5043,Lakes & Tanks ,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,09.00 am,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,black,septic,,16,0.3,7.1,1498,12,9.16,,17,430,6,,,,14,5,415,157,118,5.4,2.98,,425,104,260,40.09,165,97,,928,632,10,2.78,,0.5,,1.36,,
5044,Lakes & Tanks ,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,09.15 am,,others,municipal sewage,domestic effluents,clear,50-100 cm,yes,brown,septic,,27.1,0.3,7.1,802,8,8.63,,21,430,4,,,,14,5,148,124,92,5.6,2.2,,212,55.2,138,17.98,74,47,,514,360,21,1.66,,0.5,,0.96,,
5045,Lakes & Tanks ,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5046,Lakes & Tanks ,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,03.30 pm,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,odour free,,16,4.2,7.48,684,2.4,5.56,,12,280,2,,,,6,5,155,84,31,2.8,0.4,,165,40,100,15.79,65,48,,418,264,10,0.68,,0.5,,0.92,,
5047,Lakes & Tanks ,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,02.30pm,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,16,0.3,7.12,784,8,6.48,,12,350,2,,,,10,5,185,84,89,4.8,0.68,,195,48,120,18.22,75,52,,478,310,10,0.88,,0.5,,0.94,,
5048,Lakes & Tanks ,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049,Lakes & Tanks ,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes & Tanks ,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,01.30pm,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,16,0.3,7.12,1536,10,7.94,,27,430,8.3,,,,26,5,420,162,90,7,3.49,,440,108,270,41.31,170,102,,952,648,18,2.29,,0.5,,1.16,,
5051,Lakes & Tanks ,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,02.45pm,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,16,3.2,7.24,1132,2.6,8.49,,14,350,6.1,,,,16,5,285,115,39,5.6,0.56,,300,74,185,27.95,115,71,,702,484,14,0.98,,0.5,,0.94,,
5052,Lakes & Tanks ,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,08.12.2023,12.50 pm,,others,municipal sewage,domestic effluents,clear,50-100 cm,no,green,septic,,27,4.8,8.16,494,2,9.8,,27,350,3.7,,,,17,5,112,66,16,5.6,1.12,,125,32,80,10.94,45,16,,306,180,16,2.96,,0.5,,1.12,,
5053,Lakes & Tanks ,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,02.55 pm,,others,municipal sewage,municipal swewage,clear,50-100 cm,no,green,septic,,24.9,0.3,7.12,1016,10,8.24,,21,430,6.3,,,,16,5,235,115,90,7,2.68,,245,60,150,23.09,95,72,,630,402,12,3.16,,0.5,,1.28,,
5054,Lakes & Tanks ,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,02.45 pm,,"fishing,boating,gardening",none,none,clear,50-100 cm,no,clear,septic,,28.4,1.3,7.44,766,4,8.92,,34,280,3.7,,,,17,5,180,94,36,11.2,1.6,,188,48.8,122,16.04,66,36,,482,280,12,2.1,,0.5,,0.94,,
5055,Lakes & Tanks ,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,02.30pm,,"others,cattle wading",none,none,clear,Greater than 100cm,no,clear,septic,,27.6,0.3,7.18,538,3,10.22,,17,540,4,,,,14,5,122,70,24,8.4,2.2,,136,34.4,86,12.15,50,22,,340,220,10,2.33,,0.5,,1.52,,
5056,Lakes & Tanks ,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.10 pm,,others,domestic sewage,domestic effluents,clear,Greater than 100 cm,no,brown,septic,,27,2.37,7.17,1043,4,8.32,,32,540,4,,,,12,5,220,142,47,7,3.3,,235,59.2,148,21.14,0,48,,666,420,26,2.68,,0.5,,1.06,,
5057,Lakes & Tanks ,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.45pm,,"others,cattle wading",municipal sewage,municipal swewage,clear,50 cm,no,brown,septic,,28,0.3,7.08,1192,16,10.6,,27,920,5.6,,,,20,5,236,153,172,5.6,1.6,,278,75.2,188,21.87,90,84,,738,440,26,2.14,,0.5,,1.36,,
5058,Lakes & Tanks ,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.30 pm,,others,municipal sewage,domestic effluents,clear,50-100 cm,no,brown,septic,,27.5,3.75,6.96,1052,2,8.44,,40,280,6.1,,,,13,5,196,152,24,4.2,1.6,,240,60.8,152,21.38,88,68,,652,420,21,1.98,,0.5,,0.84,,
5059,Lakes & Tanks ,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.40pm,,"others,cattle wading",municipal sewage,municipal swewage,clear,50 cm,no,brown,septic,,27.8,0.3,7.1,1214,10,12.2,,21,430,6,,,,12,5,264,158,118,7,2.2,,292,73.6,184,26.24,108,56,,764,480,17,2.36,,0.5,,1.08,,
5060,Lakes & Tanks ,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.40pm,,others,municipal sewage,municipal swewage,clear,Greater than 100 cm,yes,green,septic,,26.9,0.3,7.22,1132,12,9.4,,26,350,4,,,,16,5,248,175,110,11.2,2.8,,276,68.8,172,25.27,104,39,,702,420,22,1.94,,0.5,,1.22,,
5061,Lakes & Tanks ,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.30pm,,others,municipal sewage,municipal swewage,clear,Greater than 100 cm,yes,green,septic,,28,0.3,7.12,976,26,7.8,,31,920,6,,,,12,5,210,122,292,8.4,5.6,,225,56.8,142,20.17,83,64,,606,360,28,2.46,,0.5,,1.22,,
5062,Lakes & Tanks ,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,01.20pm,,"others,cattle wading",domestic sewage,domestic effluents,clear,50-100 cm,no,green,septic,,27,1.58,6.96,852,7,2.42,,27,430,2,,,,14,5,178,110,70,12.6,1.6,,256,52,130,30.62,0,58,,536,320,18,2.72,,0.5,,0.92,,
5063,Lakes & Tanks ,"Nanakram Kunta, Nanakraamguda,",Medchal Malkajgiri,Ranga Reddy-I,Warangal,09.12.2023,12.50 pm,,others,domestic sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,27.8,0.3,7.04,824,7,7.08,,17,430,6,,,,26,5,185,94,66,5.6,2.28,,195,48,120,18.22,75,56,,510,316,17,0.98,,0.5,,1.08,,
5111,Lakes & Tanks ,"Nagireddy Kunta (Yapral Cheruvu), Yapral",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,10.30 am,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,black,septic,,15,0.3,7.32,1938,8,10.28,,21,540,6.3,,,,20,5,540,208,85,7,1.98,,560,144,360,48.6,200,118,,1220,854,18,3.28,,0.5,,1.36,,
5112,Lakes & Tanks ,"Kamuni Cheruvu, Kukatpally",Medchal Malkajgiri,Medchal,Warangal,08.12.2023,10.00 am,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,black,septic,,15,0.3,7.1,1483,8,6.45,,24,540,8,,,,16,5,380,172,85,5.6,1.58,,395,96,240,37.66,155,106,,920,626,12,2.96,,0.5,,1.28,,
5113,Lakes & Tanks ,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",Medchal Malkajgiri,Rangareddy-I,Warangal,06.12.2023,08.45 am,,others,none,none,clear,Greater than 100mts,no,green,odourless,,27,0.3,6.91,1180,10,5.08,,17,430,8.1,,,,16,5,310,132,120,5.6,2.55,,320,78,195,30.38,125,78,,732,496,15,2.14,,0.5,,0.89,,
5114,Lakes & Tanks ,"Shanthisarovor Pond, Gachibowli, Serilingmapally",Rangareddy ,Rangareddy-I,Warangal,09.12.2023,12.15 pm,,others,none,none,clear,50 cm,yes,clear,clear,,28.5,6,7.27,486,1,2.74,,Less than 1.8,63,Less than 1.8,,,,8,5,100,68,8,1.5,0.4,,110,26,65,10.94,45,42,,294,182,6,0.2,,0.5,,0.33,,
5115,Lakes & Tanks ,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",Rangareddy ,Rangareddy-I,Warangal,09.12.2023,11.20 am,,others,domestic sewage,domestic effluents,clear,50 cm,yes,light black,septic,,27,0.3,6.79,1020,10,6.52,,25,920,3.6,,,,22,5,232,128,147,11.2,2.2,,340,86.4,216,30.13,124,57,,652,520,29,2.76,,0.5,,1.22,,
5116,Lakes & Tanks ,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",Rangareddy ,Rangareddy-I,Warangal,09.12.2023,12.00 pm,,"gardenning,others",domestic sewage,none,clear,Greater than 100 cm,yes,light green,septic,,26.9,2,7.39,1314,3.6,8.64,,21,430,6,,,,21,5,285,161,46,5.2,0.84,,300,72,180,29.16,120,102,,814,530,18,2.64,,0.5,,0.98,,
5117,Lakes & Tanks ,"Masjid Banda Lake, Kondapur, Serlingampally",Rangareddy ,Rangareddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
