Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,10.20 am,others,others,domestic sewage,none,sunny,Greater than 50 M,no,light green,septic,,28,0.3,7.11,1418,8,4.4,,14,540,2,,,,12.5,5,320,210,92,5.6,2.8,,330,210,84,120,29.16,108,,850,,21,5.2,,0.5,,1.08,,,,,,,,,,,
2359,Lakes & Tanks ,Pedda Cheruvu (Peerjadhi guda),Medchal Malkajgiri,Rangareddy - I,Warangal,04.10.2023,11.20 am,others,none,sewage,none,sunny,1mts,yes,light green,septic,,28,0.3,7.2,1122,6,3.2,,23,430,2,,,,10,5,235,168,82,4.2,1.4,,245,144,57.6,101,24.54,76,,670,,12,2.8,,0.5,,1.03,,,,,,,,,,,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,Rangareddy - I,Warangal,05.10.2023,10.15 AM,others,others,municipal sewage,domestic effluents,clear,Greater than 100 mts,yes,yellowish brown,septic,,28,0.3,8.46,1808,10,6.28,,38,540,10,,,,10,10,380,243,108,8.4,1.98,,400,245,98,155,37.66,150,,1140,,10,3.84,,0.6,,1.28,,,,,,,,,,,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,Rangareddy - II,Warangal,05.10.2023,06.00 am,"fishing,others",fishing,none,none,sunny,1mts,yes,lighrt green,septic,,26,3.2,7.14,970,3,2.2,,17,430,Less than 1.8,,,,8.6,5,210,128,74,2.8,0.4,,225,130,52,95,23.09,72,,582,,10,2.2,,0.5,,0.98,,,,,,,,,,,
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,Hyderabad,Warangal,06.10.2023,06.45 am,others,others,domestic sewage,none,sunny,none ,no,light brown,septic,,26,0.3,6.85,1163,6.1,3.4,,21,540,Less than 1.8,,,,8,5,245,152,88,4.2,1.4,,255,145,58,110,26.73,75,,694,,15,2.7,,0.5,,1.02,,,,,,,,,,,
4224,Lakes & Tanks ,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda Cheruvu (Nacharam),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,09:30:00,Irrigation & Domestic,Bathing & Fishing,None,Municipal Sewage,Clear,4 Feets,None,Clear,None,Low,18 oC,6.2,7.34,796,3.2,22,0.09,6.1,43,5.6,,,,3.5,12,165,118,36,10,,,230,140,56,90,22,32,24,477.6,339.1,6,,0.11,BDL,6.5,0.32,17.86,0.54,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4237,Lakes & Tanks ,Mundla Katwa Lake,Medchal Malkajgiri,Warangal,07.10.2023,07.30 am,others,others,sewage,none,sunny,Greater than 100mts,no,brown,septic,,26,1.66,6.84,636,5.4,4,,14,210,1.8,,,,24,5,146,78,42,12,6.7,,165,110,44,55,13.37,42,,408,,12,3.56,,0.5,,0.48,,,,,,,,,,,,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,Hyderabad,Warangal,06.10.2023,10.15 AM,others,others,sewage,none,clear,Greater than 100 cm,no,grey,odourfree,,27,0.3,7.53,1444,10,18,,11,540,3.6,,,,26,5,245,218,100,17,1.6,,390,250,100,140,34.02,89,,878,,18,3.14,,0.5,,1.16,,,,,,,,,,,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,01.00 pm,others,others,sewage,none,clear,Greater than 50 cm,yes,light green,septic,,27.6,0.3,7.39,1116,8,4.42,,33,430,4,,,,20,5,306,104,84,5.6,2.82,,312,186,74.4,126,30.62,52,,680,,26,2.44,,0.5,,1.12,,,,,,,,,,,
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,zl-wgl,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Rangareddy,Ranga Reddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,RO-R.R-I,Warangal,05.10.2023,12.00 pm,others,gardening,sewage,none,sunny,1mts,none,light green,septic,,29,2,7.28,788,3.8,2.4,,15,430,2,,,,8.2,5,155,98,44,2.8,1.4,,165,102,40.8,63,15.31,66,,470,,10,2.6,,0.5,,0.98,,,,,,,,,,,
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Rangareddy,Ranga Reddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,Ranga Reddy-I,Warangal,05.10.2023,,others,others,sewage,nil,rainy,Greater than 50 m,yes,light green,septic,,25,5.6,7.07,515,2.2,1.4,,14,350,Less than 1.8,,,,6.6,5,100,76,38,1.5,0.4,,110,60,24,50,12.15,52,,308,,10,2.4,,0.5,,0.86,,,,,,,,,,,
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,10.15 am,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,27,0.3,7.66,1286,12,5.86,,39,540,5.6,,,,26,5,342,127,143,6.72,3.04,,358,230,92,128,31.1,56,,792,,22,2.69,,0.5,,0.89,,,,,,,,,,,
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,Medchal,Warangal,05.10.2023,01.00 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,green,septic,,28,0.3,5.54,1299,8,17,,27,540,5.6,,,,22,5,314,139,139,6.72,2.93,,320,210,84,110,26.73,72,,806,,18,3.92,,0.5,,1.56,,,,,,,,,,,
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,Warangal,06.10.2023,08.00 am,others,others,municipal sewage,domestic effluents,cleat,Greater than 100 cm,yes,brown,septic,,27,0.3,7.23,1309,6.2,12,,25,350,4,,,,38,5,256,164,77,10,3.3,,325,244,97.6,81,19.68,88,,838,,24,3.04,,0.5,,1.26,,,,,,,,,,,
4679,Lakes & Tanks ,HUDA Park Lake,Rangareddy,Ranga Reddy-I,Warangal,05.10.2023,10.00 am,others,others,none,no,clear,Greater than 100 cm,no,light brown,odourless,,28,2,8.64,1186,5,4.08,,27,540,9,,,,12,30,310,156,52,4.2,0.69,,320,210,84,110,26.73,92,,724,,10,2.24,,0.5,,1.12,,,,,,,,,,,
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",Warangal,Warangal,Warangal,06.10.2023,11.55 am,irrigation,others,dometic sewage,none,clear,50 to 100 cm,yes,pale green,odourfree,,28,3.8,7.83,568,2.4,2.44,,17,120,2,,,,9,5,146,73,44,1.5,0.4,,152,90,36,62,15.07,16,,352,,14,0.93,,0.5,,0.79,,,,,,,,,,,
4684,Lakes & Tanks ,Campus Lake Icrisat,Sangareddy,Sangareddy-I,ZL-RCP,2023-10-07 00:00:00,10:00:00,None,None,Domestic waste water  from Ramachandrapuram Residential area,Sewage,Clear,4 mtrs,None,Clear,None,Low,24 oC,5.8,8.07,618,3.3,22,0.1,6.1,84,5.5,,,,3.8,20,140,89,30,8,,,200,110,44,90,22,24,16,370.8,263.27,8,,0.18,BDL,6,0.41,14.25,0.39,,BDL,BDL,BDL,BDL,BDL,BDL,0.15,
4685,Lakes & Tanks ,Surisigal Lake Icrisat,Sangareddy,Sangareddy-I,ZL-RCP,2023-10-07 00:00:00,10:15:00,None,None,Domestic waste water  from Ramachandrapuram Residential area,Sewage,Clear,4 mtrs,None,Clear,None,Low,24 oC,5.9,7.49,941,3.2,30,0.07,7.8,130,6.8,,,,3.3,24,195,120,32,10,,,280,200,80,80,20,60,30,564.6,400.87,7,,0.15,BDL,8.5,0.48,18.15,0.59,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4686,Lakes & Tanks ,Icrisat Lake,Sangareddy,Sangareddy-I,ZL-RCP,2023-10-07 00:00:00,10:30:00,None,None,Domestic waste water  from Tellapur Residential area,Sewage,Clear,4 mtrs,None,Clear,None,Low,25 oC,5.8,8.14,918,3.1,32,0.14,7.8,120,6.8,,,,3.5,28,230.0,97,36,8,,,240,150,60,90,22,42,30,550.8,391.07,8,,0.14,BDL,8.5,0.33,20.52,0.66,,BDL,BDL,BDL,BDL,BDL,BDL,0.15,
4687,Lakes & Tanks ,Red Lake Icrisat,Sangareddy,Sangareddy-I,ZL-RCP,2023-10-07 00:00:00,10:45:00,None,None,Domestic waste water  from HIG & MIG Residential area,Sewage,Clear,3 mtrs,None,Light Green,None,Low,25 oC,6.2,7.76,924,3.7,38,0.13,8.2,120,6,,,,4.5,28,225,130,42,10,,,315,210,84,105,26,54,34,554.4,393.62,8,,0.17,BDL,6.5,0.62,18.45,0.64,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",Hyderabad,Hyderabad,Warangal,06.10.2023,12.22 pm,others,others,none,none,clear,app 2 mts,dark green,clear,odourless,,25,3.72,8.07,442,4.2,6,,26,220,5.5,,,,19,5,70,88,65,14,4.4,,100,60,24,40,9.72,44,,270,,11,1.94,,0.6,,1.22,,,,,,,,,,,
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,Hyderabad,Warangal,06.10.2023,08.00 am,others,others,domestic sewage,no,clear,app 1 mts,yes,dark green,odourless,,26,2.15,6.92,903,5.2,8,,17,280,2,,,,42,5,195,128,50,12,4.4,,210,140,56,70,17.01,38,,578,,16,3.21,,0.5,,1.33,,,,,,,,,,,
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,Ranga Reddy-I,Warangal,06.10.2023,08.55 am,others,others,none,no,clear,Greater than 100 cm,no,green,odourless,,28,0.3,7.08,1340,8,10,,63,920,2,,,,36,5,285,186,123,12,2.2,,295,212,84.8,83,20.17,69,,830,,26,2.42,,0.5,,1.68,,,,,,,,,,,
4692,Lakes & Tanks ,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,06.10.2023,08.20 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,light brown,septic,,28,0.3,7.06,788,12,9,,14,240,1.8,,,,31,5,166,122,100,14,3.9,,220,135,54,85,20.66,41,,512,,19,2.66,,0.5,,0.68,,,,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,,Others,others,sewage,nik,rainy,Greater than 50 m,no,lightgreen,odourless,,,0.3,6.98,524,10,6,,14,210,4,,,,28,5,68,112,99,12,3.3,,95,56,22.4,39,9.48,45,,314,,32,1.33,,0.5,,1.14,,,,,,,,,,,
4694,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Medchal Malkajgiri,RO-R.R-I,Warangal,07.10.2023,07.30 am,others,others,sewage,none,sunny,Greater than 100mts,no,brown,septic,,26,1.66,6.84,636,5.4,4,,14,210,1.8,,,,24,5,146,78,42,12,6.7,,165,110,44,55,13.37,42,,408,,12,3.56,,0.5,,0.48,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,RR-II,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,RR-II,Warangal,06.10.2023,02.24 pm,Others,others,municipal sewage,domestic effluents,clear,Greater than 50 m,yes,light green,septic,,22,0.3,7.57,1247,12,10.6,,17,350,3.6,,,,18,5,290,125,147,5.6,1.39,,292,174,69.6,118,28.67,84,,784,,20,2.98,,0.5,,1.44,,,,,,,,,,,
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,RR-II,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,RR-II,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,Ranga Reddy-I,Warangal,06.10.2023,10.45 am,fishing,fishing,none,none,clear,Greater than 100 cm,no,clear,odourless,,28,4.2,8.06,518,2,3.98,,11,240,2,,,,8,5,115,62,24,5,0.4,,120,80,32,40,9.72,36,,322,,10,1.26,,0.5,,0.68,,,,,,,,,,,
4700,Lakes & Tanks ,"Large tank,/ Saroornagar, Rangareddy District.",RR-shamshabad,Ranga Reddy-I,Warangal,06.10.2023,10.50 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,yellowish brown,septic,,27,3.2,6.92,328,2.8,3.28,,21,350,2,,,,8,5,80,38,44,2.8,1.4,,85,50,20,35,8.5,21,,200,,12,1.2,,0.5,,0.82,,,,,,,,,,,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,Ranga Reddy-I,Warangal,07.10.2023,08.15 am,others,Others,domestic sewage,none,sunny,Less than 50 cm,no,black,septic,,26,0.3,6.99,394,8,4,,22,430,1.8,,,,13,5,95,62,111,18,4.4,,115,66,26.4,49,11.91,28,,240,,18,1.76,,0.5,,0.94,,,,,,,,,,,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,Rangareddy-I,"Central lab, Hyderabad",,,,,,,,,,,,,,4.2,7.36,1649,9,9,0.03,,,,,,,39,BDL,440,180,41,2,Less than 5,BDL,380,248,99,132,32,61,113,920,796,68,,8,0.04,13,0.96,38,2.5,,,,,,,,,
4703,Lakes & Tanks ,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,Ranga Reddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,Ranga Reddy-I,Warangal,06.10.2023,09.40 am,others,others,none,none,clear,Greater than 100cm,no,green,odourless,,27,0.3,7.2,1156,12,10,,21,430,11,,,,28,5,170,240,138,16,4.4,,260,180,72,80,19.44,106,,728,,33,2.62,,0.55,,1.06,,,,,,,,,,,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,01.20 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,27,0.3,7.77,1419,12,11.4,,39,430,12,,,,10,5,400,140,147,8.96,4.18,,404,288,115.2,116,28.19,64,,886,,14,3.98,,0.5,,1.22,,,,,,,,,,,
5029,Lakes & Tanks ,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,Hyderabad,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Lakes & Tanks ,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,Hyderabad,Warangal,06.10.2023,10.45 am,others,others,domestic sewage,none,clear,app 5 m,no,green,odourless,,26,0.3,7.84,944,6.2,12,,13,280,1.8,,,,14,5,158,144,73,22,6.1,,230,150,60,80,19.44,61,,602,,16,2.74,,0.5,,0.94,,,,,,,,,,,
5031,Lakes & Tanks ,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes & Tanks ,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,06.10.2023,04.30 pm,others,others,domestic sewage,none,clear,app 5 m,yes,green,odourless,,27,0.3,7.39,1122,6.1,10,,13,240,1.8,,,,27,5,258,136,54,18,3.3,,286,188,75.2,98,23.81,71,,706,,20,2.94,,0.5,,1.12,,,,,,,,,,,
5033,Lakes & Tanks ,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,Lakes & Tanks ,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,06.10.2023,09.10 am,others,others,none,none,clear,none ,green,pale green,odourless,,27,0.3,7.84,1082,6,8,,17,350,2,,,,32,5,220,156,56,20,3.9,,250,180,72,70,17.01,68,,670,,17,2.16,,0.5,,1.07,,,,,,,,,,,
5035,Lakes & Tanks ,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,Warangal,06.10.2023,01.45 pm,others,others,none,none,clear,none ,yes,green,odourless,,27,0.3,7.12,1106,6.2,9,,12,220,1.8,,,,13,5,280,142,62,16,5,,295,255,102,40,9.72,75,,676,,18,2.92,,0.5,,1.02,,,,,,,,,,,
5036,Lakes & Tanks ,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,02.30 pm,Others,others,domestic sewage,none,clear,Greater than 50 cm,yes,green,septic,,28,2.8,7.81,566,3.8,3.47,,6,120,Less than 1.8,,,,10,5,180,38,40,8.96,4.84,,188,106,42.4,82,19.93,32,,344,,12,2.14,,0.5,,0.99,,,,,,,,,,,
5037,Lakes & Tanks ,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,02.00 pm,others,others,municipal sewage,domestic effluents,clear,Greater than 50 to 100 cm,yes,black,septic,,26,0.3,7.72,1328,8,5.46,,26,350,4,,,,14,5,375,137,96,7.84,3.17,,388,299,119.6,89,21.63,62,,850,,18,3.68,,0.5,,0.93,,,,,,,,,,,
5038,Lakes & Tanks ,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,Hyderabad,Warangal,06.10.2023,03.45 pm,others,others,sewage,none,clear,10 -15 mtrs,no,green,septic,,27,0.3,8.2,1602,10,13,,14,350,2,,,,18,5,250,262,134,19,3.3,,385,280,112,105,25.52,106,,988,,22,2.86,,0.56,,1.72,,,,,,,,,,,
5039,Lakes & Tanks ,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,Hyderabad,Warangal,06.10.2023,05.30 pm,others,others,domestic sewage,none,clear,app 5to 6 m,yes,green,odourless,,27,0.3,8.62,1688,10,14,,17,240,1.8,,,,11,12,255,277,131,20,4.4,,415,312,124.8,103,25.03,118,,1094,,20,3.62,,0.54,,0.84,,,,,,,,,,,
5040,Lakes & Tanks ,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,06.10.2023,09.25 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,yellowish brown,septic,,29,0.3,7.16,1328,10,14,,17,220,6,,,,22,5,196,213,130,12,2.2,,310,199,79.6,111,26.97,92,,824,,36,2.14,,0.52,,1.52,,,,,,,,,,,
5041,Lakes & Tanks ,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,06.10.2023,09.10 am,"fishing,others",fishing,none,none,clear,Greater than 100 cm,no ,none ,odourless,,28,0.3,8.06,1238,6,12,,25,350,1.8,,,,25,5,295,164,46,10,2.8,,310,222,88.8,88,21.38,94,,768,,14,1.84,,0.5,,1.12,,,,,,,,,,,
5042,Lakes & Tanks ,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,05.10.2023,05.21 pm,others,others,municipal sewage,domestic effluents,clear,Greater than 50 to 100 cm,yes,light green,septic,,26,0.3,7.62,1202,12,14,,24,430,4,,,,14,5,272,120,139,5.6,1.94,,278,188,75.2,90,21.87,94,,768,,16,1.63,,0.5,,0.97,,,,,,,,,,,
5043,Lakes & Tanks ,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,05.10.2023,03.50 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,26,0.3,7.71,1189,16,11,,17,350,4,,,,12,5,268,122,143,7.84,5.02,,284,212,84.8,72,17.5,82,,750,,14,3.16,,0.5,,1.46,,,,,,,10,180,,,
5044,Lakes & Tanks ,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,12.40 pm,others,others,domestic sewage,none,sunny,none ,no,light brown,septic,,29,0.3,7.04,1171,6.2,3.5,,27,430,Less than 1.8,,,,10,5,280,132,78,2.8,1.4,,295,166,66.4,129,31.35,86,,702,,18,2.7,,0.5,,1.08,,,,,,,10,220,,,
5045,Lakes & Tanks ,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,12.30 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50cm,yes,light green,septic,,28,0.3,7.74,1137,8,3.81,,25,350,2,,,,18,5,310,104,108,11.2,5.26,,312,199,79.6,113,27.46,56,,716,,20,3.16,,0.5,,1.64,,,,,,,10,250,,,
5046,Lakes & Tanks ,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,05.10.2023,03.50 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,27,0.3,7.83,522,6.2,6.54,,27,350,2,,,,8,5,154,49,84,3.36,0.75,,158,102,40.8,56,13.61,36,,328,,10,0.85,,0.5,,1.02,,,,,,,10,125,,,
5047,Lakes & Tanks ,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,05.10.2023,01.30pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,28,0.3,7.47,419,6.1,6.04,,2,35,1.8,,,,8,5,114,36,77,4.48,2.34,,130,76,30.4,54,13.12,25,,266,,10,1.23,,0.5,,0.92,,,,,,,10,70,,,
5048,Lakes & Tanks ,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
5049,Lakes & Tanks ,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes & Tanks ,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,06.10.2023,03.00 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,27,2.8,7.33,944,4.4,4.8,,33,430,8.3,,,,21,5,228,102,44,6.72,4.34,,234,138,55.2,96,23.33,63,,604,,18,2.29,,0.5,,0.73,,,,,,,10,155,,,
5051,Lakes & Tanks ,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Warangal,05.10.2023,01.21 pm,others,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light green,septic,,28,4.2,7.92,898,2.2,8.3,,17,210,3.6,,,,18,5,240,74,20,5.6,3.4,,256,180,72,76,18.47,61,,564,,16,2.2,,0.5,,1.14,,,,,,,10,200,,,
5052,Lakes & Tanks ,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,07.10.2023,08.30 am,others,others,none,none,sunny,Greater than 100 mts,no,clear,septic,,26,4,8.36,422,1.4,3,,17,240,Less than 1.8,,,,17,8,66,78,20,16,7.2,,105,68,27.2,37,8.99,22,,258,,10,1.33,,0.5,,1.22,,,,,,,,,,,
5053,Lakes & Tanks ,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,11.30 am,Others,gardening,rainwater,none,sunny,1mts,none,green,septic,,29,3.6,7.51,677,4,8,,13,430,2,,,,10,5,144,88,38,18,2.2,,215,142,56.8,73,17.74,38,,424,,14,3.16,,0.5,,1.66,,,,,,,,,,,
5054,Lakes & Tanks ,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,12.40 pm,others,fishing,none,none,sunny,none ,yes,light brown,septic,,29,5.2,7.26,544,2,6,,32,540,6.1,,,,20,5,115,93,20,12,7.2,,190,125,50,65,15.79,38,,344,,14,2.92,,0.5,,0.84,,,,,,,,,,,
5055,Lakes & Tanks ,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,Warangal,05.10.2023,12.30 am,others,fishing,none,none,sunny,none ,no,light green,fishy,,29,2.54,7.07,1102,3,12,,47,920,8.1,,,,28,5,310,126,28,14,6.1,,335,244,97.6,91,22.11,68,,732,,12,1.74,,0.5,,0.98,,,,,,,,,,,
